"product","binary file","download page","download link","download name","test flags","publish date","bin file size [B]","comment"
"HG300","HG300_FW_V01.01.00.07.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.07.bin","HG300_FW_V01.01.00.07.bin",3,"2016-06-17",624550,
"HG300","HG300_FW_V01.01.00.07_PC.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.07_PC.bin","HG300_FW_V01.01.00.07_PC.bin",3,"2016-06-16",431534,
"HG300","HG300_FW_V01.01.00.08.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.08.bin","HG300_FW_V01.01.00.08.bin",3,"2016-06-23",637434,
"HG300","HG300_FW_V01.01.00.08_PC.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.08_PC.bin","HG300_FW_V01.01.00.08_PC.bin",3,"2016-06-23",444418,
"HG300","HG300_FW_V01.01.00.11.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.11.bin","HG300_FW_V01.01.00.11.bin",3,"2016-06-30",629178,
"HG300","HG300_FW_V01.01.00.11_PC.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.11_PC.bin","HG300_FW_V01.01.00.11_PC.bin",3,"2016-06-30",436162,
"HG300","HG300_FW_V01.01.00.12.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.12.bin","HG300_FW_V01.01.00.12.bin",3,"2016-07-05",632106,
"HG300","HG300_FW_V01.01.00.12_PC.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.12_PC.bin","HG300_FW_V01.01.00.12_PC.bin",3,"2016-07-05",439090,
"HG300","HG300_FW_V01.01.00.13.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.13.bin","HG300_FW_V01.01.00.13.bin",3,"2016-07-11",633690,
"HG300","HG300_FW_V01.01.00.13_PC.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.13_PC.bin","HG300_FW_V01.01.00.13_PC.bin",3,"2016-07-11",440674,
"HG300","HG300_FW_V01.01.00.14.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.14.bin","HG300_FW_V01.01.00.14.bin",3,"2016-07-19",634802,
"HG300","HG300_FW_V01.01.00.14_PC.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.14_PC.bin","HG300_FW_V01.01.00.14_PC.bin",3,"2016-07-19",441786,
"HG300","HG300_FW_V01.01.00.15.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.15.bin","HG300_FW_V01.01.00.15.bin",3,"2016-07-21",634950,
"HG300","HG300_FW_V01.01.00.15_PC.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.15_PC.bin","HG300_FW_V01.01.00.15_PC.bin",3,"2016-07-21",441934,
"HG300","HG300_FW_V01.01.00.16.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.16.bin","HG300_FW_V01.01.00.16.bin",3,"2016-08-30",641266,
"HG300","HG300_FW_V01.01.00.17.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.17.bin","HG300_FW_V01.01.00.17.bin",3,"2016-08-04",637818,
"HG300","HG300_FW_V01.01.00.18.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.18.bin","HG300_FW_V01.01.00.18.bin",3,"2016-08-15",638670,
"HG300","HG300_FW_V01.01.00.19.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.19.bin","HG300_FW_V01.01.00.19.bin",3,"2016-08-19",640286,
"HG300","HG300_FW_V01.01.00.21.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.21.bin","HG300_FW_V01.01.00.21.bin",3,"2016-08-25",640494,
"HG300","HG300_FW_V01.01.00.22.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.22.bin","HG300_FW_V01.01.00.22.bin",3,"2016-08-25",641190,
"HG300","HG300_FW_V01.01.00.23.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.23.bin","HG300_FW_V01.01.00.23.bin",3,"2016-08-26",641582,
"HG300","HG300_FW_V01.01.00.24.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.24.bin","HG300_FW_V01.01.00.24.bin",3,"2016-08-29",641654,
"HG300","HG300_FW_V01.01.00.30.bin",,"https://s3-ap-northeast-1.amazonaws.com/dji-firmware-test/HG300/HG300_FW_V01.01.00.30.bin","HG300_FW_V01.01.00.30.bin",3,"2016-10-17",641654,
